"122","MDC 02","M","ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC","0","\N"
"123","MDC 02","M","NEUROLOGICAL EYE DISORDERS","0","\N"
"124","MDC 02","M","OTHER DISORDERS OF THE EYE WITH MCC OR THROMBOLYTIC AGENT","0","\N"
"125","MDC 02","M","OTHER DISORDERS OF THE EYE WITHOUT MCC","0","\N"
"135","MDC 03","P","SINUS AND MASTOID PROCEDURES WITH CC/MCC","0","\N"
"136","MDC 03","P","SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC","0","\N"
"137","MDC 03","P","MOUTH PROCEDURES WITH CC/MCC","0","\N"
"138","MDC 03","P","MOUTH PROCEDURES WITHOUT CC/MCC","0","\N"
"139","MDC 03","P","SALIVARY GLAND PROCEDURES","0","\N"
"140","MDC 03","P","MAJOR HEAD AND NECK PROCEDURES WITH MCC","0","\N"
"141","MDC 03","P","MAJOR HEAD AND NECK PROCEDURES WITH CC","0","\N"
"142","MDC 03","P","MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC","0","\N"
"143","MDC 03","P","OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH MCC","0","\N"
"144","MDC 03","P","OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC","0","\N"
"145","MDC 03","P","OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC","0","\N"
"146","MDC 03","M","EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC","0","\N"
"147","MDC 03","M","EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC","0","\N"
"148","MDC 03","M","EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC","0","\N"
"149","MDC 03","M","DYSEQUILIBRIUM","0","\N"
"150","MDC 03","M","EPISTAXIS WITH MCC","0","\N"
"151","MDC 03","M","EPISTAXIS WITHOUT MCC","0","\N"
"152","MDC 03","M","OTITIS MEDIA AND URI WITH MCC","0","\N"
"153","MDC 03","M","OTITIS MEDIA AND URI WITHOUT MCC","0","\N"
"154","MDC 03","M","OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC","0","\N"
"155","MDC 03","M","OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC","0","\N"
"156","MDC 03","M","OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC","0","\N"
"157","MDC 03","M","DENTAL AND ORAL DISEASES WITH MCC","0","\N"
"158","MDC 03","M","DENTAL AND ORAL DISEASES WITH CC","0","\N"
"159","MDC 03","M","DENTAL AND ORAL DISEASES WITHOUT CC/MCC","0","\N"
"163","MDC 04","P","MAJOR CHEST PROCEDURES WITH MCC","0","\N"
"164","MDC 04","P","MAJOR CHEST PROCEDURES WITH CC","0","\N"
"165","MDC 04","P","MAJOR CHEST PROCEDURES WITHOUT CC/MCC","0","\N"
"166","MDC 04","P","OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC","0","\N"
"167","MDC 04","P","OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC","0","\N"
"168","MDC 04","P","OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC","0","\N"
"173","MDC 04","P","ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS WITH PRINCIPAL DIAGNOSIS PULMONARY EMBOLISM","0","\N"
"175","MDC 04","M","PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE","0","\N"
"176","MDC 04","M","PULMONARY EMBOLISM WITHOUT MCC","0","\N"
"177","MDC 04","M","RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC","0","\N"
"178","MDC 04","M","RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC","0","\N"
"179","MDC 04","M","RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC","0","\N"
"180","MDC 04","M","RESPIRATORY NEOPLASMS WITH MCC","0","\N"
"181","MDC 04","M","RESPIRATORY NEOPLASMS WITH CC","0","\N"
"182","MDC 04","M","RESPIRATORY NEOPLASMS WITHOUT CC/MCC","0","\N"
"183","MDC 04","M","MAJOR CHEST TRAUMA WITH MCC","0","\N"
"184","MDC 04","M","MAJOR CHEST TRAUMA WITH CC","0","\N"
"185","MDC 04","M","MAJOR CHEST TRAUMA WITHOUT CC/MCC","0","\N"
"186","MDC 04","M","PLEURAL EFFUSION WITH MCC","0","\N"
"187","MDC 04","M","PLEURAL EFFUSION WITH CC","0","\N"
"188","MDC 04","M","PLEURAL EFFUSION WITHOUT CC/MCC","0","\N"
"189","MDC 04","M","PULMONARY EDEMA AND RESPIRATORY FAILURE","0","\N"
"190","MDC 04","M","CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC","0","\N"
"191","MDC 04","M","CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC","0","\N"
"192","MDC 04","M","CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC","0","\N"
"193","MDC 04","M","SIMPLE PNEUMONIA AND PLEURISY WITH MCC","0","\N"
"194","MDC 04","M","SIMPLE PNEUMONIA AND PLEURISY WITH CC","0","\N"
"195","MDC 04","M","SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC","0","\N"
"196","MDC 04","M","INTERSTITIAL LUNG DISEASE WITH MCC","0","\N"
"197","MDC 04","M","INTERSTITIAL LUNG DISEASE WITH CC","0","\N"
"198","MDC 04","M","INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC","0","\N"
"199","MDC 04","M","PNEUMOTHORAX WITH MCC","0","\N"
"200","MDC 04","M","PNEUMOTHORAX WITH CC","0","\N"
"201","MDC 04","M","PNEUMOTHORAX WITHOUT CC/MCC","0","\N"
"202","MDC 04","M","BRONCHITIS AND ASTHMA WITH CC/MCC","0","\N"
"203","MDC 04","M","BRONCHITIS AND ASTHMA WITHOUT CC/MCC","0","\N"
"204","MDC 04","M","RESPIRATORY SIGNS AND SYMPTOMS","0","\N"
"205","MDC 04","M","OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC","0","\N"
"206","MDC 04","M","OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC","0","\N"
