"TABLE 5.—LIST OF MEDICARE SEVERITY DIAGNOSIS-RELATED GROUPS (MS-DRGS), RELATIVE WEIGHTING FACTORS, 
AND GEOMETRIC AND ARITHMETIC MEAN LENGTH OF STAY—FY 2026 Final Rule"									
MS-DRG 	FY 2026 Final Post-Acute DRG	FY 2026 Final Special Pay DRG	MDC	TYPE	MS-DRG Title	Weights - Before Cap	Weights - 10% Cap Applied 	Geometric mean LOS	Arithmetic mean LOS
082	No	No	01	MED	TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC	2.2856	2.2856	4.4	6.6
083	No	No	01	MED	TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC	1.3958	1.3958	3.2	4.3
084	No	No	01	MED	TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC	0.9558	0.9558	2.1	2.5
085	Yes	No	01	MED	TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC	2.2719	2.2719	4.6	6.3
086	Yes	No	01	MED	TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC	1.3027	1.3027	2.9	3.6
087	Yes	No	01	MED	TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC	0.9147	0.9147	1.9	2.3
088	No	No	01	MED	CONCUSSION WITH MCC	1.3518	1.3518	3.4	4.5
089	No	No	01	MED	CONCUSSION WITH CC	1.0986	1.0986	2.5	3.3
090	No	No	01	MED	CONCUSSION WITHOUT CC/MCC	0.8232	0.8232	1.9	2.3
091	Yes	No	01	MED	OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC	1.7562	1.7562	4.4	6.3
092	Yes	No	01	MED	OTHER DISORDERS OF NERVOUS SYSTEM WITH CC	1.0230	1.0230	3.0	4.0
093	Yes	No	01	MED	OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC	0.7963	0.7963	2.2	2.7
094	No	No	01	MED	BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC	3.5194	3.5194	7.9	10.5
095	No	No	01	MED	BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC	2.5792	2.5792	5.6	6.8
096	No	No	01	MED	BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC	2.5792	2.5792	5.6	6.8
097	No	No	01	MED	NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC	3.6118	3.6118	8.7	11.7
098	No	No	01	MED	NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC	2.2949	2.2949	5.9	7.7
099	No	No	01	MED	NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC	1.3624	1.3624	3.8	4.7
100	Yes	No	01	MED	SEIZURES WITH MCC	1.9368	1.9368	4.3	6.3
101	Yes	No	01	MED	SEIZURES WITHOUT MCC	0.9026	0.9026	2.6	3.4
102	No	No	01	MED	HEADACHES WITH MCC	1.1209	1.1209	2.9	4.0
103	No	No	01	MED	HEADACHES WITHOUT MCC	0.8363	0.8363	2.3	2.9
113	No	No	02	SURG	ORBITAL PROCEDURES WITH CC/MCC	2.3511	2.3511	4.7	6.5
114	No	No	02	SURG	ORBITAL PROCEDURES WITHOUT CC/MCC	1.3530	1.3530	2.3	3.3
115	No	No	02	SURG	EXTRAOCULAR PROCEDURES EXCEPT ORBIT	1.5349	1.5349	3.8	5.3
116	No	No	02	SURG	INTRAOCULAR PROCEDURES WITH CC/MCC	1.8081	1.8081	4.0	6.3
117	No	No	02	SURG	INTRAOCULAR PROCEDURES WITHOUT CC/MCC	1.0849	1.0849	1.9	2.5
121	No	No	02	MED	ACUTE MAJOR EYE INFECTIONS WITH CC/MCC	1.1633	1.1633	4.1	5.5
122	No	No	02	MED	ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC	0.7858	0.7858	3.2	4.0
123	No	No	02	MED	NEUROLOGICAL EYE DISORDERS	0.7986	0.7986	2.1	2.6
124	No	No	02	MED	OTHER DISORDERS OF THE EYE WITH MCC OR THROMBOLYTIC AGENT	1.3231	1.3231	3.2	4.6
125	No	No	02	MED	OTHER DISORDERS OF THE EYE WITHOUT MCC	0.7678	0.7678	2.2	2.9
135	No	No	03	SURG	SINUS AND MASTOID PROCEDURES WITH CC/MCC	2.1152	2.1700	3.6	5.6
136	No	No	03	SURG	SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC	1.0153	1.0153	1.3	1.6
137	No	No	03	SURG	MOUTH PROCEDURES WITH CC/MCC	1.4932	1.4932	3.4	4.9
138	No	No	03	SURG	MOUTH PROCEDURES WITHOUT CC/MCC	0.8862	0.8862	1.6	2.0
139	No	No	03	SURG	SALIVARY GLAND PROCEDURES	1.2086	1.2357	2.0	2.9
140	No	No	03	SURG	MAJOR HEAD AND NECK PROCEDURES WITH MCC	4.2653	4.2653	6.9	9.1
141	No	No	03	SURG	MAJOR HEAD AND NECK PROCEDURES WITH CC	2.1811	2.1811	3.0	4.1
142	No	No	03	SURG	MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC	1.5964	1.5964	1.9	2.5
143	No	No	03	SURG	"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH MCC"	3.7466	3.7466	6.2	9.5
144	No	No	03	SURG	"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC"	1.7329	1.7329	2.8	3.8
145	No	No	03	SURG	"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC"	1.2023	1.2023	1.6	1.9
146	No	No	03	MED	"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC"	2.1174	2.1174	5.5	8.0
147	No	No	03	MED	"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC"	1.2715	1.2715	3.5	4.8
148	No	No	03	MED	"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC"	0.7971	0.7971	1.9	2.4
149	No	No	03	MED	DYSEQUILIBRIUM	0.7516	0.7516	1.9	2.4
150	No	No	03	MED	EPISTAXIS WITH MCC	1.3315	1.3315	3.4	4.5
151	No	No	03	MED	EPISTAXIS WITHOUT MCC	0.7340	0.7340	2.1	2.6
152	No	No	03	MED	OTITIS MEDIA AND URI WITH MCC	1.1822	1.1822	3.2	4.4
153	No	No	03	MED	OTITIS MEDIA AND URI WITHOUT MCC	0.7382	0.7382	2.2	2.8
154	No	No	03	MED	"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC"	1.5635	1.5635	3.9	5.6
155	No	No	03	MED	"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC"	0.9165	0.9165	2.8	3.5
156	No	No	03	MED	"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC"	0.6911	0.6911	2.0	2.4
157	No	No	03	MED	DENTAL AND ORAL DISEASES WITH MCC	1.7168	1.7168	4.5	6.3
158	No	No	03	MED	DENTAL AND ORAL DISEASES WITH CC	0.9098	0.9098	2.8	3.5
159	No	No	03	MED	DENTAL AND ORAL DISEASES WITHOUT CC/MCC	0.7085	0.7085	2.1	2.5
163	Yes	No	04	SURG	MAJOR CHEST PROCEDURES WITH MCC	4.4818	4.4818	6.3	8.7
164	Yes	No	04	SURG	MAJOR CHEST PROCEDURES WITH CC	2.5240	2.5240	3.4	4.3
165	Yes	No	04	SURG	MAJOR CHEST PROCEDURES WITHOUT CC/MCC	1.9142	1.9142	2.0	2.4
166	Yes	No	04	SURG	OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC	3.7377	3.7377	7.6	10.5
167	Yes	No	04	SURG	OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC	1.8034	1.8034	3.4	4.6
168	Yes	No	04	SURG	OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC	1.3664	1.3664	1.8	2.2
173	No	No	04	SURG	ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS WITH PRINCIPAL DIAGNOSIS PULMONARY EMBOLISM	2.9764	2.9764	3.8	4.6
175	Yes	No	04	MED	PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE	1.3736	1.3736	3.8	4.9
176	Yes	No	04	MED	PULMONARY EMBOLISM WITHOUT MCC	0.8050	0.8050	2.4	3.0
177	Yes	No	04	MED	RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC	1.5627	1.5627	4.4	5.7
178	Yes	No	04	MED	RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC	0.9760	0.9760	3.1	3.9
179	Yes	No	04	MED	RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC	0.7550	0.7550	2.4	3.0
180	No	No	04	MED	RESPIRATORY NEOPLASMS WITH MCC	1.7660	1.7660	4.8	6.5
181	No	No	04	MED	RESPIRATORY NEOPLASMS WITH CC	1.0710	1.0710	3.1	4.1
182	No	No	04	MED	RESPIRATORY NEOPLASMS WITHOUT CC/MCC	0.7440	0.7538	2.2	2.8
183	No	No	04	MED	MAJOR CHEST TRAUMA WITH MCC	1.5299	1.5299	4.2	5.4
184	No	No	04	MED	MAJOR CHEST TRAUMA WITH CC	1.0641	1.0641	3.1	3.7
185	No	No	04	MED	MAJOR CHEST TRAUMA WITHOUT CC/MCC	0.7865	0.7865	2.3	2.7
186	Yes	No	04	MED	PLEURAL EFFUSION WITH MCC	1.5585	1.5585	4.2	5.6
187	Yes	No	04	MED	PLEURAL EFFUSION WITH CC	0.9891	0.9891	3.0	3.8
