"TABLE 5.—LIST OF MEDICARE SEVERITY DIAGNOSIS-RELATED GROUPS (MS-DRGS), RELATIVE WEIGHTING FACTORS, 
AND GEOMETRIC AND ARITHMETIC MEAN LENGTH OF STAY—FY 2026 Final Rule"									
MS-DRG 	FY 2026 Final Post-Acute DRG	FY 2026 Final Special Pay DRG	MDC	TYPE	MS-DRG Title	Weights - Before Cap	Weights - 10% Cap Applied 	Geometric mean LOS	Arithmetic mean LOS
477	Yes	Yes	08	SURG	BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC	3.4546	3.4546	8.6	10.6
478	Yes	Yes	08	SURG	BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC	2.4592	2.4592	5.4	6.7
479	Yes	Yes	08	SURG	BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC	1.8589	1.8589	3.3	4.1
480	Yes	Yes	08	SURG	HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC	2.9123	2.9123	6.1	7.3
481	Yes	Yes	08	SURG	HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC	2.0945	2.0945	4.3	4.8
482	Yes	Yes	08	SURG	HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITHOUT CC/MCC	1.6310	1.6310	3.1	3.5
483	No	No	08	SURG	MAJOR JOINT OR LIMB REATTACHMENT PROCEDURES OF UPPER EXTREMITIES	2.7719	2.7719	2.0	2.8
485	No	No	08	SURG	KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITH MCC	3.2271	3.2271	8.1	9.6
486	No	No	08	SURG	KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITH CC	2.0911	2.0911	5.1	6.0
487	No	No	08	SURG	KNEE PROCEDURES WITH PRINCIPAL DIAGNOSIS OF INFECTION WITHOUT CC/MCC	1.5662	1.5662	3.5	4.1
488	Yes	No	08	SURG	KNEE PROCEDURES WITHOUT PRINCIPAL DIAGNOSIS OF INFECTION WITH CC/MCC	1.5236	1.7689	2.2	3.1
489	Yes	No	08	SURG	KNEE PROCEDURES WITHOUT PRINCIPAL DIAGNOSIS OF INFECTION WITHOUT CC/MCC	1.1168	1.1168	1.2	1.4
492	Yes	Yes	08	SURG	"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH MCC"	3.6716	3.6716	6.6	8.4
493	Yes	Yes	08	SURG	"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH CC"	2.5361	2.5361	4.2	5.1
494	Yes	Yes	08	SURG	"LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITHOUT CC/MCC"	2.0065	2.0065	2.8	3.4
495	Yes	Yes	08	SURG	LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH MCC	3.6257	3.6257	7.2	9.9
496	Yes	Yes	08	SURG	LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH CC	1.8039	1.8039	2.8	3.9
497	Yes	Yes	08	SURG	LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITHOUT CC/MCC	1.1517	1.2083	1.4	1.8
498	No	No	08	SURG	LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITH CC/MCC	3.0168	3.0168	4.4	5.9
499	No	No	08	SURG	LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITHOUT CC/MCC	2.0148	2.0148	1.8	2.3
500	Yes	Yes	08	SURG	SOFT TISSUE PROCEDURES WITH MCC	3.1648	3.1648	7.6	9.9
501	Yes	Yes	08	SURG	SOFT TISSUE PROCEDURES WITH CC	1.7481	1.7481	4.0	5.2
502	Yes	Yes	08	SURG	SOFT TISSUE PROCEDURES WITHOUT CC/MCC	1.3459	1.3459	2.4	3.0
503	No	No	08	SURG	FOOT PROCEDURES WITH MCC	2.7911	2.7911	7.1	8.9
504	No	No	08	SURG	FOOT PROCEDURES WITH CC	1.8692	1.8692	4.5	5.5
505	No	No	08	SURG	FOOT PROCEDURES WITHOUT CC/MCC	1.7928	1.7928	2.7	3.2
506	No	No	08	SURG	MAJOR THUMB OR JOINT PROCEDURES	1.1996	1.3492	3.7	4.5
507	No	No	08	SURG	MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITH CC/MCC	1.8064	1.8064	5.1	6.4
508	No	No	08	SURG	MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITHOUT CC/MCC	1.5144	1.5144	3.2	3.8
510	Yes	No	08	SURG	"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH MCC"	3.0205	3.0205	5.3	6.9
511	Yes	No	08	SURG	"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH CC"	2.0794	2.0794	3.5	4.4
512	Yes	No	08	SURG	"SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITHOUT CC/MCC"	1.6554	1.6554	2.3	2.7
513	No	No	08	SURG	"HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITH CC/MCC"	1.5743	1.5743	3.9	5.2
514	No	No	08	SURG	"HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITHOUT CC/MCC"	1.0223	1.0223	2.1	2.6
515	Yes	Yes	08	SURG	OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH MCC	3.1869	3.1869	6.7	8.4
516	Yes	Yes	08	SURG	OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH CC	2.0781	2.0781	4.0	5.1
517	Yes	Yes	08	SURG	OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITHOUT CC/MCC	1.5367	1.5367	2.3	2.9
518	Yes	Yes	08	SURG	BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH MCC OR DISC DEVICE OR NEUROSTIMULATOR	3.7373	3.7373	5.3	7.6
519	Yes	Yes	08	SURG	BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH CC	2.0002	2.0002	3.2	4.2
520	Yes	Yes	08	SURG	BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITHOUT CC/MCC	1.4939	1.4939	2.1	2.6
521	Yes	Yes	08	SURG	HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITH MCC	2.8702	2.8702	6.0	7.0
522	Yes	Yes	08	SURG	HIP REPLACEMENT WITH PRINCIPAL DIAGNOSIS OF HIP FRACTURE WITHOUT MCC	2.1177	2.1177	4.0	4.5
533	Yes	No	08	MED	FRACTURES OF FEMUR WITH MCC	1.5677	1.5677	4.3	5.7
534	Yes	No	08	MED	FRACTURES OF FEMUR WITHOUT MCC	0.8061	0.8061	2.9	3.5
535	Yes	No	08	MED	FRACTURES OF HIP AND PELVIS WITH MCC	1.2820	1.2820	3.9	5.0
536	Yes	No	08	MED	FRACTURES OF HIP AND PELVIS WITHOUT MCC	0.8076	0.8076	2.9	3.5
537	No	No	08	MED	"SPRAINS, STRAINS, AND DISLOCATIONS OF HIP, PELVIS AND THIGH WITH CC/MCC"	0.9543	0.9543	3.3	4.1
538	No	No	08	MED	"SPRAINS, STRAINS, AND DISLOCATIONS OF HIP, PELVIS AND THIGH WITHOUT CC/MCC"	0.7203	0.7203	2.4	2.9
539	Yes	No	08	MED	OSTEOMYELITIS WITH MCC	1.9697	1.9697	6.2	8.1
540	Yes	No	08	MED	OSTEOMYELITIS WITH CC	1.2963	1.2963	4.3	5.6
541	Yes	No	08	MED	OSTEOMYELITIS WITHOUT CC/MCC	0.7715	0.7874	2.9	3.6
542	Yes	No	08	MED	PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH MCC	1.7665	1.7665	5.0	6.8
543	Yes	No	08	MED	PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH CC	1.0280	1.0280	3.5	4.4
544	Yes	No	08	MED	PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITHOUT CC/MCC	0.7546	0.7546	2.7	3.1
545	Yes	No	08	MED	CONNECTIVE TISSUE DISORDERS WITH MCC	2.4817	2.4817	5.5	8.3
546	Yes	No	08	MED	CONNECTIVE TISSUE DISORDERS WITH CC	1.1534	1.1534	3.4	4.4
547	Yes	No	08	MED	CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC	0.8362	0.8362	2.5	3.0
548	No	No	08	MED	SEPTIC ARTHRITIS WITH MCC	1.9309	1.9309	5.9	7.7
549	No	No	08	MED	SEPTIC ARTHRITIS WITH CC	1.2072	1.2072	3.9	4.9
550	No	No	08	MED	SEPTIC ARTHRITIS WITHOUT CC/MCC	0.8741	0.8741	3.1	3.7
551	Yes	No	08	MED	MEDICAL BACK PROBLEMS WITH MCC	1.6761	1.6761	4.5	5.9
552	Yes	No	08	MED	MEDICAL BACK PROBLEMS WITHOUT MCC	0.9613	0.9613	2.9	3.6
553	No	No	08	MED	BONE DISEASES AND ARTHROPATHIES WITH MCC	1.2963	1.2963	4.0	5.2
554	No	No	08	MED	BONE DISEASES AND ARTHROPATHIES WITHOUT MCC	0.8301	0.8301	2.8	3.5
555	No	No	08	MED	SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC	1.3218	1.3218	3.8	5.2
556	No	No	08	MED	SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT MCC	0.8306	0.8306	2.7	3.3
557	Yes	No	08	MED	"TENDONITIS, MYOSITIS AND BURSITIS WITH MCC"	1.4869	1.4869	4.7	6.1
558	Yes	No	08	MED	"TENDONITIS, MYOSITIS AND BURSITIS WITHOUT MCC"	0.8932	0.8932	3.1	3.9
559	Yes	No	08	MED	"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC"	1.8649	1.8649	5.1	7.0
560	Yes	No	08	MED	"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC"	1.1261	1.1261	3.8	5.2
561	Yes	No	08	MED	"AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC"	0.8039	0.8039	2.9	4.2
562	Yes	No	08	MED	"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MCC"	1.4248	1.4248	4.1	5.2
563	Yes	No	08	MED	"FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITHOUT MCC"	0.8955	0.8955	3.0	3.5
564	No	No	08	MED	OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH MCC	1.5436	1.5436	4.8	6.2
565	No	No	08	MED	OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH CC	0.9744	0.9744	3.3	4.1
566	No	No	08	MED	OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITHOUT CC/MCC	0.7493	0.7493	2.4	2.9
570	Yes	No	09	SURG	SKIN DEBRIDEMENT WITH MCC	2.9411	2.9411	7.8	10.3
571	Yes	No	09	SURG	SKIN DEBRIDEMENT WITH CC	1.6895	1.6895	5.0	6.3
572	Yes	No	09	SURG	SKIN DEBRIDEMENT WITHOUT CC/MCC	1.1463	1.1463	2.8	3.6
573	Yes	No	09	SURG	SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH MCC	6.5514	6.5514	12.0	16.7
574	Yes	No	09	SURG	SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH CC	3.4714	3.4714	7.6	10.6
575	Yes	No	09	SURG	SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC	1.6336	1.7970	4.0	4.9
576	No	No	09	SURG	SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH MCC	4.9012	4.9012	8.8	12.5
577	No	No	09	SURG	SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH CC	2.6507	2.6507	4.3	6.6
578	No	No	09	SURG	SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC	1.6064	1.6064	2.3	3.2
579	Yes	No	09	SURG	"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH MCC"	3.2385	3.2385	7.5	10.3
580	Yes	No	09	SURG	"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH CC"	1.7280	1.7280	4.1	5.5
581	Yes	No	09	SURG	"OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITHOUT CC/MCC"	1.4431	1.4431	2.1	2.6
582	No	No	09	SURG	MASTECTOMY FOR MALIGNANCY WITH CC/MCC	1.9266	1.9266	2.6	3.4
583	No	No	09	SURG	MASTECTOMY FOR MALIGNANCY WITHOUT CC/MCC	1.7244	1.7244	1.7	2.1
584	No	No	09	SURG	"BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITH CC/MCC"	2.1407	2.1407	3.3	4.4
585	No	No	09	SURG	"BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITHOUT CC/MCC"	1.9291	1.9291	2.0	2.3
592	Yes	No	09	MED	SKIN ULCERS WITH MCC	1.9353	1.9353	5.7	8.1
593	Yes	No	09	MED	SKIN ULCERS WITH CC	1.1863	1.1863	4.2	5.6
594	Yes	No	09	MED	SKIN ULCERS WITHOUT CC/MCC	0.8668	0.8668	3.2	4.1
595	No	No	09	MED	MAJOR SKIN DISORDERS WITH MCC	2.1207	2.1207	5.4	7.5
596	No	No	09	MED	MAJOR SKIN DISORDERS WITHOUT MCC	1.0825	1.0825	3.4	4.5
597	No	No	09	MED	MALIGNANT BREAST DISORDERS WITH MCC	1.6671	1.6671	4.7	6.5
598	No	No	09	MED	MALIGNANT BREAST DISORDERS WITH CC	1.1313	1.1313	3.4	4.7
599	No	No	09	MED	MALIGNANT BREAST DISORDERS WITHOUT CC/MCC	0.7332	0.7694	2.4	2.8
600	No	No	09	MED	NON-MALIGNANT BREAST DISORDERS WITH CC/MCC	1.0416	1.0416	3.2	4.0
601	No	No	09	MED	NON-MALIGNANT BREAST DISORDERS WITHOUT CC/MCC	0.6050	0.6050	2.3	2.6
602	Yes	No	09	MED	CELLULITIS WITH MCC	1.4213	1.4213	4.5	5.8
603	Yes	No	09	MED	CELLULITIS WITHOUT MCC	0.8709	0.8709	3.1	3.8
604	No	No	09	MED	"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITH MCC"	1.4721	1.4721	3.9	5.1
605	No	No	09	MED	"TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITHOUT MCC"	0.9160	0.9160	2.7	3.3
606	No	No	09	MED	MINOR SKIN DISORDERS WITH MCC	1.5132	1.5132	4.5	6.3
607	No	No	09	MED	MINOR SKIN DISORDERS WITHOUT MCC	0.9064	0.9064	2.9	3.8
614	No	No	10	SURG	ADRENAL AND PITUITARY PROCEDURES WITH CC/MCC	2.1918	2.1918	2.4	3.6
615	No	No	10	SURG	ADRENAL AND PITUITARY PROCEDURES WITHOUT CC/MCC	1.3993	1.3993	1.4	1.6
616	Yes	No	10	SURG	"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC"	3.4874	3.4874	8.8	11.0
617	Yes	No	10	SURG	"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC"	1.8703	1.8703	5.6	6.7
618	Yes	No	10	SURG	"AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITHOUT CC/MCC"	1.4183	1.4183	4.1	5.1
619	No	No	10	SURG	O.R. PROCEDURES FOR OBESITY WITH MCC	2.8874	2.8874	2.8	4.9
620	No	No	10	SURG	O.R. PROCEDURES FOR OBESITY WITH CC	1.6003	1.6003	1.5	1.8
621	No	No	10	SURG	O.R. PROCEDURES FOR OBESITY WITHOUT CC/MCC	1.5084	1.5084	1.2	1.3
622	Yes	No	10	SURG	"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC"	3.5592	3.5592	8.6	11.5
623	Yes	No	10	SURG	"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC"	1.7939	1.7939	5.2	6.3
624	Yes	No	10	SURG	"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITHOUT CC/MCC"	1.2519	1.2519	3.1	3.8
625	No	No	10	SURG	"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITH MCC"	3.0201	3.0201	5.1	8.1
626	No	No	10	SURG	"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITH CC"	1.4994	1.4994	1.9	2.6
627	No	No	10	SURG	"THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITHOUT CC/MCC"	1.3283	1.3283	1.3	1.5
628	Yes	No	10	SURG	"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH MCC"	3.7268	3.7268	8.3	10.9
629	Yes	No	10	SURG	"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH CC"	2.1788	2.1788	5.9	7.1
630	Yes	No	10	SURG	"OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITHOUT CC/MCC"	1.4595	1.4595	1.9	2.6
637	Yes	No	10	MED	DIABETES WITH MCC	1.4367	1.4367	3.9	5.3
638	Yes	No	10	MED	DIABETES WITH CC	0.8962	0.8962	2.9	3.7
639	Yes	No	10	MED	DIABETES WITHOUT CC/MCC	0.6212	0.6212	2.1	2.4
640	Yes	No	10	MED	"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC"	1.3356	1.3356	3.6	5.0
641	Yes	No	10	MED	"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC"	0.7782	0.7782	2.6	3.3
642	No	No	10	MED	INBORN AND OTHER DISORDERS OF METABOLISM	1.4221	1.4221	3.4	4.6
643	Yes	No	10	MED	ENDOCRINE DISORDERS WITH MCC	1.6461	1.6461	4.9	6.3
644	Yes	No	10	MED	ENDOCRINE DISORDERS WITH CC	1.0250	1.0250	3.4	4.2
645	Yes	No	10	MED	ENDOCRINE DISORDERS WITHOUT CC/MCC	0.7683	0.7683	2.7	3.2
650	No	No	11	SURG	KIDNEY TRANSPLANT WITH HEMODIALYSIS WITH MCC	4.7014	4.7014	6.3	7.6
651	No	No	11	SURG	KIDNEY TRANSPLANT WITH HEMODIALYSIS WITHOUT MCC	3.7058	3.7058	5.5	6.3
652	No	No	11	SURG	KIDNEY TRANSPLANT	3.2295	3.2295	4.3	4.8
653	Yes	No	11	SURG	MAJOR BLADDER PROCEDURES WITH MCC	5.1964	5.1964	9.5	12.4
654	Yes	No	11	SURG	MAJOR BLADDER PROCEDURES WITH CC	2.7993	2.7993	5.1	6.2
655	Yes	No	11	SURG	MAJOR BLADDER PROCEDURES WITHOUT CC/MCC	2.1166	2.1166	3.2	3.9
656	No	No	11	SURG	KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH MCC	3.1838	3.1838	5.0	7.2
657	No	No	11	SURG	KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH CC	1.8300	1.8300	2.5	3.2
658	No	No	11	SURG	KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITHOUT CC/MCC	1.5518	1.5518	1.6	1.8
659	Yes	No	11	SURG	KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH MCC	2.5409	2.5409	5.7	7.7
660	Yes	No	11	SURG	KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH CC	1.3217	1.3217	2.8	3.7
661	Yes	No	11	SURG	KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITHOUT CC/MCC	1.0354	1.0354	1.8	2.1
662	No	No	11	SURG	MINOR BLADDER PROCEDURES WITH MCC	3.0615	3.0615	7.1	9.7
663	No	No	11	SURG	MINOR BLADDER PROCEDURES WITH CC	1.5202	1.5202	3.6	4.7
664	No	No	11	SURG	MINOR BLADDER PROCEDURES WITHOUT CC/MCC	1.0469	1.0469	2.1	2.6
665	No	No	11	SURG	PROSTATECTOMY WITH MCC	3.1212	3.1212	7.1	9.8
666	No	No	11	SURG	PROSTATECTOMY WITH CC	1.7493	1.7493	3.6	5.0
667	No	No	11	SURG	PROSTATECTOMY WITHOUT CC/MCC	1.1062	1.1062	2.1	2.7
668	No	No	11	SURG	TRANSURETHRAL PROCEDURES WITH MCC	2.9200	2.9200	7.2	9.4
669	No	No	11	SURG	TRANSURETHRAL PROCEDURES WITH CC	1.5520	1.5520	3.7	4.9
670	No	No	11	SURG	TRANSURETHRAL PROCEDURES WITHOUT CC/MCC	0.9773	0.9773	2.0	2.5
671	No	No	11	SURG	URETHRAL PROCEDURES WITH CC/MCC	1.7950	1.7950	3.9	5.5
672	No	No	11	SURG	URETHRAL PROCEDURES WITHOUT CC/MCC	1.0795	1.0795	1.6	2.1
673	No	No	11	SURG	OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH MCC	4.2016	4.2016	10.2	13.1
674	No	No	11	SURG	OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH CC	2.3386	2.3386	5.5	7.1
675	No	No	11	SURG	OTHER KIDNEY AND URINARY TRACT PROCEDURES WITHOUT CC/MCC	1.6414	1.6414	2.8	3.6
682	Yes	No	11	MED	RENAL FAILURE WITH MCC	1.4810	1.4810	4.3	5.7
683	Yes	No	11	MED	RENAL FAILURE WITH CC	0.8758	0.8758	3.0	3.7
684	Yes	No	11	MED	RENAL FAILURE WITHOUT CC/MCC	0.6003	0.6003	2.2	2.6
686	No	No	11	MED	KIDNEY AND URINARY TRACT NEOPLASMS WITH MCC	1.8037	1.8037	5.1	6.9
687	No	No	11	MED	KIDNEY AND URINARY TRACT NEOPLASMS WITH CC	1.0478	1.0478	3.3	4.2
688	No	No	11	MED	KIDNEY AND URINARY TRACT NEOPLASMS WITHOUT CC/MCC	0.7903	0.7903	2.0	2.3
689	Yes	No	11	MED	KIDNEY AND URINARY TRACT INFECTIONS WITH MCC	1.1603	1.1603	3.8	4.9
690	Yes	No	11	MED	KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC	0.8095	0.8095	2.8	3.5
693	No	No	11	MED	URINARY STONES WITH MCC	1.3445	1.3445	3.7	4.9
694	No	No	11	MED	URINARY STONES WITHOUT MCC	0.7817	0.7817	2.1	2.7
695	No	No	11	MED	KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITH MCC	1.1438	1.1438	3.6	4.6
696	No	No	11	MED	KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITHOUT MCC	0.6890	0.6890	2.3	2.9
697	No	No	11	MED	URETHRAL STRICTURE	1.0778	1.0778	2.6	3.6
698	Yes	No	11	MED	OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC	1.6544	1.6544	4.8	6.1
699	Yes	No	11	MED	OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC	1.0150	1.0150	3.2	4.0
700	Yes	No	11	MED	OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITHOUT CC/MCC	0.6899	0.6899	2.3	2.8
707	No	No	12	SURG	MAJOR MALE PELVIC PROCEDURES WITH CC/MCC	2.0003	2.0003	2.2	3.1
708	No	No	12	SURG	MAJOR MALE PELVIC PROCEDURES WITHOUT CC/MCC	1.5342	1.5342	1.4	1.5
709	No	No	12	SURG	PENIS PROCEDURES WITH CC/MCC	2.3271	2.3271	4.0	6.5
710	No	No	12	SURG	PENIS PROCEDURES WITHOUT CC/MCC	1.4012	1.4012	1.6	1.9
711	No	No	12	SURG	TESTES PROCEDURES WITH CC/MCC	2.0838	2.0838	4.8	6.8
712	No	No	12	SURG	TESTES PROCEDURES WITHOUT CC/MCC	1.0997	1.0997	2.3	3.0
713	No	No	12	SURG	TRANSURETHRAL PROSTATECTOMY WITH CC/MCC	1.5034	1.5034	2.4	3.5
714	No	No	12	SURG	TRANSURETHRAL PROSTATECTOMY WITHOUT CC/MCC	1.0574	1.0574	1.5	1.7
715	No	No	12	SURG	OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES FOR MALIGNANCY WITH CC/MCC	2.2373	2.2373	5.0	7.2
716	No	No	12	SURG	OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES FOR MALIGNANCY WITHOUT CC/MCC	1.4710	1.4710	1.6	1.8
717	No	No	12	SURG	OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXCEPT MALIGNANCY WITH CC/MCC	1.8905	1.8905	3.6	5.2
718	No	No	12	SURG	OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXCEPT MALIGNANCY WITHOUT CC/MCC	1.3431	1.3431	1.9	2.3
722	No	No	12	MED	"MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITH MCC"	1.8097	1.8097	5.0	7.1
723	No	No	12	MED	"MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITH CC"	1.1427	1.1427	3.4	4.7
724	No	No	12	MED	"MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC"	0.6117	0.6557	1.8	2.1
725	No	No	12	MED	BENIGN PROSTATIC HYPERTROPHY WITH MCC	1.1702	1.1702	3.8	4.9
726	No	No	12	MED	BENIGN PROSTATIC HYPERTROPHY WITHOUT MCC	0.7220	0.7220	2.5	3.1
727	No	No	12	MED	INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITH MCC	1.4829	1.4829	4.5	6.0
728	No	No	12	MED	INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITHOUT MCC	0.8112	0.8112	2.9	3.6
729	No	No	12	MED	OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES WITH CC/MCC	1.0587	1.0587	3.1	4.1
730	No	No	12	MED	OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC	0.6720	0.6720	1.8	2.1
734	No	No	13	SURG	"PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITH CC/MCC"	2.1300	2.1300	3.1	4.7
735	No	No	13	SURG	"PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITHOUT CC/MCC"	1.3455	1.3455	1.7	1.9
736	No	No	13	SURG	UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH MCC	3.5745	3.5745	6.1	8.2
